Strain,Stress,delT,Rate,I_Temp,Temp
0.0315,1037.7899181,0.0,0.01,298,298
0.032,1038.7623033,0.0,0.01,298,298
0.0325,1039.7738349,0.0,0.01,298,298
0.033,1040.7686317,0.0,0.01,298,298
0.0335,1041.7518071,0.0,0.01,298,298
0.034,1042.69587,0.0,0.01,298,298
0.0345,1043.6217016,0.0,0.01,298,298
0.035,1044.5361909,0.0,0.01,298,298
0.0355,1045.4208849,0.0,0.01,298,298
0.036,1046.2544525,0.0,0.01,298,298
0.0365,1047.0954054,0.0,0.01,298,298
0.037,1047.9583437,0.0,0.01,298,298
0.0375,1048.7818351,0.0,0.01,298,298
0.038,1049.5676482,0.0,0.01,298,298
0.0385,1050.3211372,0.0,0.01,298,298
0.039,1051.0824206,0.0,0.01,298,298
0.0395,1051.8685609,0.0,0.01,298,298
0.04,1052.6291565,0.0,0.01,298,298
0.0405,1053.3419121,0.0,0.01,298,298
0.041,1054.0318231,0.0,0.01,298,298
0.0415,1054.7327084,0.0,0.01,298,298
0.042,1055.4425348,0.0,0.01,298,298
0.0425,1056.1386733,0.0,0.01,298,298
0.043,1056.8082235,0.0,0.01,298,298
0.0435,1057.4479625,0.0,0.01,298,298
0.044,1058.0839065,0.0,0.01,298,298
0.0445,1058.7336772,0.0,0.01,298,298
0.045,1059.3644132,0.0,0.01,298,298
0.0455,1059.9899913,0.0,0.01,298,298
0.046,1060.5982053,0.0,0.01,298,298
0.0465,1061.1848331,0.0,0.01,298,298
0.047,1061.7890391,0.0,0.01,298,298
0.0,0.0,0.0,0.1,298,298
0.001,783.6010148,0.0,0.1,298,298
0.002,841.2224011,0.0,0.1,298,298
0.003,873.8594778,0.0,0.1,298,298
0.004,898.2911661,0.0,0.1,298,298
0.005,918.3900355,0.0,0.1,298,298
0.006,934.2536593,0.0,0.1,298,298
0.007,945.415875,0.0,0.1,298,298
0.008,954.6227396,0.0,0.1,298,298
0.009,962.9361269,0.0,0.1,298,298
0.01,969.9779525,0.0,0.1,298,298
0.011,976.0461964,0.0,0.1,298,298
0.012,981.6725193,0.0,0.1,298,298
0.013,986.7666714,0.0,0.1,298,298
0.014,991.4836681,0.0,0.1,298,298
0.015,995.933016,0.0,0.1,298,298
0.016,1000.1490827,0.0,0.1,298,298
0.017,1004.0539287,0.0,0.1,298,298
0.018,1007.6456006,0.0,0.1,298,298
0.019,1011.0785483,0.0,0.1,298,298
0.02,1014.2805851,0.0,0.1,298,298
