Strain,Stress,delT,Rate,I_Temp,Temp
0.073,1070.132506815098,0,0.001,298.0,298.0
0.074,1070.7291220542857,0,0.001,298.0,298.0
0.075,1071.3151332046368,0,0.001,298.0,298.0
0.076,1071.8909057463486,0,0.001,298.0,298.0
0.077,1072.4567868904503,0,0.001,298.0,298.0
0.078,1073.0131067035518,0,0.001,298.0,298.0
0.079,1073.560179154284,0,0.001,298.0,298.0
0.08,1074.0983030873776,0,0.001,298.0,298.0
0.081,1074.6277631308417,0,0.001,298.0,298.0
0.082,1075.1488305412515,0,0.001,298.0,298.0
0.083,1075.661763991754,0,0.001,298.0,298.0
0.084,1076.16681030703,0,0.001,298.0,298.0
0.085,1076.6642051491144,0,0.001,298.0,298.0
0.086,1077.154173657662,0,0.001,298.0,298.0
0.087,1077.6369310479745,0,0.001,298.0,298.0
0.088,1078.1126831698357,0,0.001,298.0,298.0
0.089,1078.5816270299715,0,0.001,298.0,298.0
0.09,1079.0439512807322,0,0.001,298.0,298.0
0.091,1079.4998366773912,0,0.001,298.0,298.0
0.092,1079.949456506284,0,0.001,298.0,298.0
0.093,1080.3929769858264,0,0.001,298.0,298.0
0.094,1080.8305576423131,0,0.001,298.0,298.0
0.095,1081.2623516622382,0,0.001,298.0,298.0
0.096,1081.6885062227718,0,0.001,298.0,298.0
0.097,1082.109162801881,0,0.001,298.0,298.0
0.098,1082.5244574694912,0,0.001,298.0,298.0
0.099,1082.9345211609768,0,0.001,298.0,298.0
0.1,1083.339479934171,0,0.001,298.0,298.0
0.11,1087.1329862002003,0,0.001,298.0,298.0
0.12,1090.526186530891,0,0.001,298.0,298.0
